Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Image,Price
1,Kyoshi Warriors,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Common,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Kyoshi%20Warriors&format=image&version=normal"")",0.12$
1,Gather the White Lotus,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gather%20the%20White%20Lotus&format=image&version=normal"")",0.15$
1,March of the Canonized,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Rare,LCC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=March%20of%20the%20Canonized&format=image&version=normal"")",0.31$
1,Release the Dogs,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Release%20the%20Dogs&format=image&version=normal"")",0.34$
1,Prismatic Lens,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,Ramp,Uncommon,OTC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Prismatic%20Lens&format=image&version=normal"")",0.41$
1,Cursed Windbreaker,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,DSK,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cursed%20Windbreaker&format=image&version=normal"")",0.16$
1,Fire Nation Warship,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fire%20Nation%20Warship&format=image&version=normal"")",0.13$
1,Quick Study,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,Card Advantage,Common,SOS,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Quick%20Study&format=image&version=normal"")",0.18$
1,Refute,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,Interaction,Common,FDN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Refute&format=image&version=normal"")",0.29$
1,The Crystal's Chosen,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,FIN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=The%20Crystal%27s%20Chosen&format=image&version=normal"")",0.15$
1,Team Avatar,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Team%20Avatar&format=image&version=normal"")",0.18$
